puma_geoid,tract_geoid
79500US0607309,14000US06073017015
79500US0607309,14000US06073017033
79500US0607309,14000US06073020710
79500US0607309,14000US06073008324
79500US0607309,14000US06073017403
79500US0607309,14000US06073017604
79500US0607309,14000US06073020401
79500US0607309,14000US06073017030
79500US0607309,14000US06073017306
79500US0607309,14000US06073017014
79500US0607309,14000US06073017018
79500US0607309,14000US06073017031
79500US0607309,14000US06073017036
79500US0607309,14000US06073017035
79500US0607309,14000US06073017037
79500US0607309,14000US06073017034
79500US0607309,14000US06073017039
79500US0607309,14000US06073017501
79500US0607309,14000US06073017702
79500US0607309,14000US06073017502
79500US0607309,14000US06073017603
79500US0607309,14000US06073017701
79500US0607309,14000US06073017808
79500US0607309,14000US06073008365
79500US0607309,14000US06073008327
79500US0607309,14000US06073020014
79500US0607309,14000US06073017601
79500US0607309,14000US06073008366
79500US0607309,14000US06073017052
79500US0607309,14000US06073017056
79500US0607321,14000US06073011601
79500US0607321,14000US06073011801
79500US0607321,14000US06073011602
79500US0607321,14000US06073013307
79500US0607321,14000US06073011700
79500US0607321,14000US06073013312
79500US0607321,14000US06073013308
79500US0607321,14000US06073013309
79500US0607321,14000US06073013409
79500US0607321,14000US06073013401
79500US0607321,14000US06073003303
79500US0607321,14000US06073003603
79500US0607321,14000US06073003800
79500US0607321,14000US06073010014
79500US0607321,14000US06073021900
79500US0607321,14000US06073010103
79500US0607321,14000US06073012200
79500US0607321,14000US06073011902
79500US0607321,14000US06073012401
79500US0607321,14000US06073003204
79500US0607321,14000US06073003202
79500US0607321,14000US06073003201
79500US0607321,14000US06073003101
79500US0607321,14000US06073013412
79500US0607321,14000US06073011802
79500US0607321,14000US06073010001
79500US0607321,14000US06073012002
79500US0607321,14000US06073012101
79500US0607321,14000US06073012003
79500US0607321,14000US06073012302
79500US0607321,14000US06073012304
79500US0607321,14000US06073012102
79500US0607321,14000US06073010107
79500US0607321,14000US06073012402
79500US0607321,14000US06073012700
79500US0607321,14000US06073012600
79500US0607321,14000US06073013000
79500US0607321,14000US06073012800
79500US0607321,14000US06073012900
79500US0607321,14000US06073013104
79500US0607321,14000US06073013203
79500US0607321,14000US06073013102
79500US0607321,14000US06073013205
79500US0607321,14000US06073013103
79500US0607321,14000US06073013204
79500US0607321,14000US06073013302
79500US0607321,14000US06073013306
79500US0607321,14000US06073013206
79500US0607321,14000US06073013301
79500US0607321,14000US06073013303
79500US0607321,14000US06073009902
79500US0607321,14000US06073003109
79500US0607321,14000US06073003113
79500US0607321,14000US06073003111
79500US0607321,14000US06073022000
79500US0607321,14000US06073012501
79500US0607321,14000US06073012502
79500US0607321,14000US06073013313
79500US0607321,14000US06073012303
79500US0607321,14000US06073003305
79500US0607318,14000US06073011801
79500US0607318,14000US06073003213
79500US0607318,14000US06073003209
79500US0607318,14000US06073003211
79500US0607318,14000US06073003212
79500US0607318,14000US06073003214
79500US0607318,14000US06073003303
79500US0607318,14000US06073003403
79500US0607318,14000US06073003301
79500US0607318,14000US06073003602
79500US0607318,14000US06073003502
79500US0607318,14000US06073003404
79500US0607318,14000US06073003501
79500US0607318,14000US06073003603
79500US0607318,14000US06073003800
79500US0607318,14000US06073004000
79500US0607318,14000US06073003901
79500US0607318,14000US06073003902
79500US0607318,14000US06073004100
79500US0607318,14000US06073021900
79500US0607318,14000US06073003105
79500US0607318,14000US06073003103
79500US0607318,14000US06073003208
79500US0607318,14000US06073012200
79500US0607318,14000US06073013908
79500US0607318,14000US06073014200
79500US0607318,14000US06073014002
79500US0607318,14000US06073014101
79500US0607318,14000US06073014102
79500US0607318,14000US06073014300
79500US0607318,14000US06073014500
79500US0607318,14000US06073003207
79500US0607318,14000US06073003003
79500US0607318,14000US06073013906
79500US0607318,14000US06073003114
79500US0607318,14000US06073003115
79500US0607318,14000US06073011902
79500US0607318,14000US06073013903
79500US0607318,14000US06073014400
79500US0607318,14000US06073003204
79500US0607318,14000US06073003401
79500US0607318,14000US06073003202
79500US0607318,14000US06073003201
79500US0607318,14000US06073003108
79500US0607318,14000US06073003107
79500US0607318,14000US06073003004
79500US0607318,14000US06073003101
79500US0607318,14000US06073003001
79500US0607318,14000US06073013410
79500US0607318,14000US06073013412
79500US0607318,14000US06073011802
79500US0607318,14000US06073012003
79500US0607318,14000US06073012102
79500US0607318,14000US06073013411
79500US0607318,14000US06073003601
